iter	Accuracy	Logloss
183	0.9442778584	0.137476056
184	0.9443096452	0.1372913645
185	0.9443096452	0.137141093
186	0.944362623	0.1369553129
187	0.9443308363	0.1368111617
188	0.9444791744	0.1364677994
189	0.9445851302	0.1362581958
190	0.9446063213	0.1360443852
191	0.9446910859	0.1359078986
192	0.9447440638	0.135679145
193	0.9448076373	0.1354167635
194	0.9449241886	0.1351851033
195	0.9449877621	0.1349813841
196	0.9450513356	0.1348507349
197	0.94504074	0.1346397576
198	0.9449983577	0.1345417381
199	0.9451361002	0.1342051333
200	0.9452738427	0.1338618204
201	0.9453692029	0.1337120659
202	0.9454963498	0.1335737742
203	0.9454857542	0.1334874129
204	0.9455599233	0.1333198346
205	0.9455811144	0.1332285316
206	0.9456129012	0.1331369179
207	0.9456446879	0.1330226648
208	0.9457294525	0.1328731731
209	0.9457718348	0.132775248
210	0.9458036216	0.1326072668
211	0.9458883862	0.132442564
212	0.9459095773	0.1322391528
213	0.9458460039	0.1320674453
214	0.9459095773	0.1318858646
215	0.9461108933	0.1317304532
216	0.9461214889	0.1316213331
217	0.9461850624	0.1314710673
218	0.9462168491	0.131186855
219	0.9461638712	0.1311025072
220	0.9461956579	0.1309062976
221	0.9462380402	0.130751251
222	0.9462486358	0.1306541292
223	0.9463122093	0.1305058722
224	0.9464393562	0.1303113853
225	0.9464181651	0.1301979963
226	0.9465347164	0.1300411776
227	0.9465770987	0.129952121
228	0.9467042456	0.1297760659
229	0.9467996058	0.1296739208
230	0.9469479439	0.1294720075
231	0.9469797307	0.1291609881
232	0.9470750909	0.1290478333
233	0.9471174732	0.1288015357
234	0.9472552157	0.128658065
235	0.947297598	0.1284428921
236	0.9474247449	0.1283196457
237	0.9474777228	0.1282024514
238	0.9474883184	0.1280647936
239	0.9477638034	0.1277487988
240	0.947774399	0.127577506
241	0.9477955901	0.1274678822
242	0.9478167813	0.1273549157
243	0.9479333326	0.1272773027
244	0.9479651194	0.1271776788
245	0.9480604796	0.1270521412
246	0.9480816707	0.126881062
247	0.9481982221	0.1267642742
248	0.9481982221	0.1266748227
249	0.9482511999	0.1265129674
250	0.9481982221	0.126347751
251	0.9483783469	0.1262372901
252	0.9483571557	0.1261479815
253	0.9484737071	0.1260335075
254	0.9484843027	0.1258985086
255	0.9485584717	0.1258370454
256	0.9484737071	0.1257239633
257	0.9485478761	0.1256214389
258	0.948600854	0.1255258575
259	0.948600854	0.1252945319
260	0.9487597877	0.1251715115
261	0.9488233611	0.1250602983
262	0.948876339	0.1249225429
263	0.9490034859	0.1248251074
264	0.9490246771	0.1247533708
265	0.9490670594	0.1246331452
266	0.9491836108	0.1245078763
267	0.9491730152	0.1243972208
268	0.9492365886	0.124286577
269	0.9492365886	0.1242024223
270	0.94935314	0.1240039655
271	0.9494485002	0.1239415144
272	0.9494590958	0.1238487174
273	0.9495014781	0.1237205819
274	0.9495862427	0.123476194
275	0.9496392206	0.1234036514
276	0.9496498162	0.123256359
277	0.9497027941	0.1231704489
278	0.9497981543	0.1229871341
279	0.9498723233	0.1228766718
280	0.9498829189	0.1227847341
281	0.9499253012	0.1225807085
282	0.9500524481	0.1223661972
283	0.9499888746	0.1222793825
284	0.9500418525	0.1221621123
285	0.9500630437	0.1220514197
286	0.9501901906	0.1219287015
287	0.9502537641	0.1218347005
288	0.9502325729	0.1217311706
